junction_clean,date,daily_count,daily_impact,main_road_frac,roll7_mean,roll7_std,z_score,anomaly_flag,anomaly_score
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-10,6,7.68,0.0,,,0.0,1,0.24597502646799918
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-11,21,25.2,0.0,,,0.0,1,0.20713090441440568
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-12,7,8.4,0.0,,,0.0,1,0.24559564131031325
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-13,1,1.2,0.0,11.333333333333334,8.386497083606084,-1.2321393819516044,1,0.2445801251894586
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-14,25,30.0,0.0,8.75,8.578072821638514,1.8943648926608267,1,0.17987641696916096
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-15,38,45.6,0.0,12.0,10.392304845413264,2.5018511664883785,1,0.14179750785620948
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-16,25,31.919999999999998,0.0,16.333333333333332,14.109098719148104,0.6142608283621077,1,0.19815161800313413
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-17,9,11.28,0.0,17.571428571428573,13.28980991658826,-0.6449624656203523,1,0.23955132973919357
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-18,26,31.2,0.0,18.0,12.897028081435403,0.6202979437964923,1,0.19787236387251306
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-19,12,15.36,0.0,18.714285714285715,13.225156403792052,-0.5076904581907649,1,0.2319360308661198
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-20,14,20.64,0.0,19.428571428571427,12.607631853460068,-0.43057819990846236,1,0.22103784744262323
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-21,19,43.67999999999999,0.10526315789473684,21.285714285714285,10.160614904526952,-0.2249582635688623,1,0.10192954379653796
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-22,58,78.72,0.017241379310344827,20.428571428571427,10.047506205640332,3.739378488797273,1,0.027162537618092064
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-23,46,59.04,0.0,23.285714285714285,16.590301240125065,1.369130396460148,1,0.12665855791507263
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-24,28,33.6,0.0,26.285714285714285,18.71464921493575,0.0916012741995496,1,0.1926379948116192
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-25,56,68.64,0.0,29.0,17.097758137642884,1.5791544003980307,1,0.09432375170326235
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-26,36,46.32,0.0,33.285714285714285,19.771311587873022,0.13728404927625318,1,0.17168063236654385
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-27,32,43.199999999999996,0.0,36.714285714285715,17.404159327722844,-0.27087121104300593,1,0.1772488600019967
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-28,31,37.199999999999996,0.0,39.285714285714285,14.591256351142698,-0.5678547539921329,1,0.18348234609158715
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-29,12,14.399999999999999,0.0,41.0,12.342339054382421,-2.3496356624316608,1,0.1699545414458895
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-11-30,16,19.2,0.0,34.42857142857143,13.926678748085672,-1.3232567334910756,1,0.2013069984563215
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-01,49,61.199999999999996,0.0,30.142857142857142,14.380873541253461,1.311265466805519,1,0.11583331311198714
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-02,19,24.72,0.0,33.142857142857146,15.962754267654562,-0.8859910329832561,1,0.20198229170647303
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-03,16,19.2,0.0,27.857142857142858,12.979837844757173,-0.9135046985145662,1,0.21277864353803005
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-04,5,6.0,0.0,25.0,13.089435944047908,-1.5279497210950863,1,0.21821608766434342
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-05,1,1.2,0.0,21.142857142857142,14.57656305430709,-1.381866017922882,1,0.23557277176071278
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-06,29,34.8,0.0,16.857142857142858,15.571647005894734,0.779805574725679,1,0.18207266145741413
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-07,4,4.8,0.0,19.285714285714285,16.007438746973083,-0.9549131830102882,1,0.24267579766718078
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-08,2,2.88,0.0,17.571428571428573,17.02798816514684,-0.9144608523572046,1,0.24966507581844655
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-09,11,13.2,0.0,10.857142857142858,10.636863125135017,0.013430382733756295,1,0.2367470115719712
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-10,13,16.08,0.0,9.714285714285714,10.028530728448137,0.32763665732145925,1,0.22959050415608617
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-11,12,14.399999999999999,0.0,9.285714285714286,9.776064063386068,0.27764606458047136,1,0.23310562049274136
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-12,14,18.24,0.0,10.285714285714286,9.621404708847274,0.3860440160957242,1,0.22509397959142974
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-13,51,65.03999999999999,0.0,12.142857142857142,8.745066636463694,4.44332152886325,1,0.06369323027399809
"BTP001 - 10th Cross, Dr. Rajkumar Road",2023-12-14,10,12.48,0.0,15.285714285714286,16.40847632286725,-0.3221331573820774,1,0.23717343235628607
