junction_clean,predicted_next_day_violations,congestion_rank_score,total_violations,total_impact,avg_lat,avg_lon,pred_norm,impact_norm,hotspot_norm,priority_score,priority_rank
BTP051 - Safina Plaza Junction,153.12870837495836,100.0,15449,21413.28,12.981212065557246,77.60869513989651,1.0,1.0,1.0,100.0,1
BTP040 - Elite Junction,56.19275635504484,67.41521423495647,10718,14097.119999999999,12.976596713370032,77.5766021547117,0.36280303004353925,0.673707541185204,0.6932105570326179,52.21558887838545,2
BTP044 - Sagar Theatre Junction,20.426792791895192,68.53538102186181,10549,14724.72,12.974938996857006,77.57889570478889,0.1276997155856547,0.6849244931031178,0.6822514752610077,40.57775007759642,3
BTP082 - KR Market Junction,6.092738756613754,77.52735256411864,11538,17102.64,12.964423750642322,77.57724121294086,0.03347651348002939,0.7749668989446569,0.7463847999481227,39.850528641303626,4
BTP045 - Danvanthri Road Junction,35.05544700688052,20.9428181824115,3181,4558.32,12.977065128575921,77.57478964140208,0.22385943699030528,0.20834949082578794,0.20446144867388627,21.53268554776663,5
BTP211 - Central Street Junction,5.967095416834263,36.410125740451534,5388,8075.04,12.983371022821446,77.60345435130863,0.0326506119054902,0.36323360916090863,0.34757797808183644,19.4810984317385,6
BTP027 - Modi Bridge Junction,12.011925318086535,28.684917920665896,4584,5980.32,12.998897494610551,77.54941567682627,0.07238558346886739,0.2858761248260787,0.295441281369561,18.10438854561695,7
BTP057 - Anand Rao Junction,15.77321233968971,26.240606250027337,3935,5765.04,12.979395373087675,77.57438830726811,0.09710995707185996,0.26139965685500594,0.25335581350106995,17.764603829264576,8
BTP058 - Subbanna Junction,2.0,34.48588503229525,5189,7551.84,12.979021616597574,77.57866101486218,0.006573381255135985,0.34396494689186274,0.3346734971791713,17.34108741309611,9
"BTP070 - Cholurpalya Junction, Magadi Road",28.752499380277012,14.42313359563952,2272,3051.8399999999997,12.973484256997908,77.550805919489,0.18242775920948595,0.1430636875108888,0.1455158550029181,16.323615685859323,10
BTP023 - Mahalaxmi Layout Entrance,27.25877795266852,11.151503710544858,1807,2305.92,13.008974449496067,77.54920543394422,0.1726089587768493,0.11030274910126109,0.11536216847156475,14.246773781311592,11
"BTP001 - 10th Cross, Dr. Rajkumar Road",15.834301360118689,17.50259901904303,2812,3637.92,13.007811443262298,77.55465340067576,0.09751151849364242,0.17390035932707792,0.1805330393619091,13.70324749173264,12
"BTP016 - 5th Main Road, RPC Layout",16.87078933287227,15.670365963187932,2474,3308.16,12.965246043934675,77.5378432820211,0.10432474910491472,0.1555530289739637,0.1586148758186888,13.055125840838421,13
BTP104 - Medical College Circle,25.053844007885424,10.170465813633095,1508,2263.2,12.959562748076925,77.57661357181698,0.15811508731539908,0.10047898441911793,0.09597302379871604,12.839584374317814,14
"BTP080 - NR Road, SP Road Junction",3.990341269841271,23.598618404054506,3681,5024.88,12.96439657572473,77.58316820553203,0.01965665324963415,0.23494372994981547,0.23688476752480384,12.768839911472247,15
"BTP204 - ESI Hospital, Rajajinagar",30.65812528991643,3.882211173385593,638,802.56,12.990358886677116,77.55373500799372,0.19495416484321115,0.03751063830155473,0.03955644899811945,11.664156371169588,16
"BTP083 - AS Char Street, Mysore Road",2.0,23.1306489131195,2778,5866.8,12.966450044406306,77.57440287238298,0.006573381255135985,0.2302576498586798,0.17832825368004668,10.802963632118127,17
BTP008 - Navarang Theatre,21.495661317996433,7.23221634478852,1190,1480.32,12.998492417815125,77.55309264941177,0.13472579591933345,0.07105639896118086,0.07535179300953246,10.375017624992749,18
BTP108 - Tagore Park Junction,14.720646152920127,11.956056904929554,1801,2625.8399999999997,12.943901209259396,77.57143116315804,0.09019103822995882,0.11835925872314443,0.11497308864535374,10.359791446099347,19
"BTP186 - 9th Cross, 4th Main, Jayanagar",17.928343447961787,3.3495720532935147,546,699.6,12.939329417176364,77.58299607614546,0.11127645550133607,0.03217697953795349,0.033590558329550615,7.200943327796419,20
"BTP188 - 27th Cross, 4th Main, Jayanagar",17.95986465922555,1.7987720644912448,294,381.84,12.929681475170067,77.5805690537415,0.11148365644059646,0.016647819852052003,0.017249205628688154,6.418601530165146,21
BTP215 - Vanivillas Junction,15.935460352338666,2.717953102343722,434,580.8,12.946120153483719,77.57023379090926,0.09817647511688968,0.02585217194138114,0.026327734906945077,6.21094361222482,22
BTP063 - Siddalingaiah Circle,7.955473927244603,6.910138663785734,1060,1502.3999999999999,12.971526511981132,77.5967034683019,0.04572098193393675,0.06783122758145962,0.06692173010829389,5.659420526306504,23
BTP135 - UCO Bank Junction,6.358679894179894,7.893567379341119,1112,1826.1599999999999,12.935621750629496,77.61497794019785,0.0352246459686762,0.07767893307142126,0.07029375526878931,5.497475395952234,24
BTP096 - Gali Anjaneya Temple,3.9723333333333333,8.524107713437468,972,2230.3199999999997,12.952594812896978,77.54121609195656,0.019538280217349192,0.08399293978233591,0.06121522599053239,4.721006724148184,25
"BTP210 - 50th cross, 12th Main , Rajajinagar",11.256802664624002,2.746461740188277,455,568.0799999999999,12.986979151428573,77.55512463802198,0.06742187437326824,0.026137647304234055,0.027689514298683614,4.709013423764106,26
"BTP148 - 17th Main, Doopanahalli Bus Stop",5.822000925000926,7.199093351670347,745,1972.08,12.963663511161307,77.64223399413451,0.03169685049264946,0.07072471708529667,0.04649503923221581,4.636484821835689,27
BTP219 - Canara Bank Junction,10.98932750522156,2.2300870023079935,358,477.12,12.931167219553071,77.58453701256984,0.06566365817423771,0.02096685428114301,0.021399390441605604,4.340176345978288,28
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",9.963851623518146,2.917433168063859,425,668.64,12.979911838377566,77.5546504141,0.058922814235854444,0.027849694392432112,0.02574411516762856,4.296513846918256,29
"BTP182 - 19th Main Junction, Rajajinagar",1.0,8.471154101940009,1390,1735.6799999999998,12.99900715064247,77.5508516759733,0.0,0.08346268114497007,0.08832112054989949,4.270302845347092,30
BTP074 - Leprosy Hospital Junction,2.9762492198060477,7.336618821055745,1047,1683.12,12.975846885138832,77.56179568138215,0.012990639576950189,0.07210184823720868,0.06607872381817002,4.13416190232717,31
BTP061 - Bhashyam Circle,3.980712210112034,6.251056384282437,1030,1279.9199999999998,12.985184338307276,77.55392274871211,0.019593357768905396,0.061231411977605094,0.06497633097723883,4.1161368673181995,32
BTP071 - Prasanna Junction,3.9990049676533075,4.479277044252804,721,940.8,12.974369503954971,77.55203424621543,0.019713603038431952,0.043489443639862575,0.044938719927371765,3.1891378596649105,33
"BTP095 - Satellite Bus Stand, Mysore Road",2.827044250967928,5.492584233324179,775,1273.9199999999998,12.953825250666533,77.54339804607628,0.012009858431616545,0.053636341540032544,0.04844043836327087,3.178391935047221,34
BTP208 - Havanur Circle,2.0,5.601016754018989,812,1274.1599999999999,12.987954160845806,77.53755577344506,0.006573381255135985,0.05472214624803684,0.05083976395823876,2.98712872936268,35
BTP054 - Shivananda Circle,2.793727956408414,4.874419511900112,751,1060.56,12.986267004491276,77.57886273319414,0.011790857725468444,0.04744625981414912,0.04688411905842682,2.950613061866432,36
BTP192 - Urvashi Theater,2.748942374963238,3.8344630238395876,625,798.7199999999999,12.95650754928,77.58603276544001,0.011496465023896358,0.03703250530931832,0.03871344270799559,2.4600672646342794,37
BTP006 - Navarang Bar Junction,6.977120906444798,0.24774142036562868,47,58.32,12.990978136170211,77.55759593617022,0.03928989452610564,0.001116350465754262,0.001232086116334868,2.022626962604607,38
BTP130 - GD Mara Junction,1.0,3.966649488822288,631,843.36,12.908069876703646,77.60081684453249,0.0,0.03835617356947647,0.0391025225342066,1.9327356577684265,39
BTP184 - Lalbagh West Gate,4.960717113074559,1.2978473670567239,215,276.47999999999996,12.94843504744186,77.58018114418606,0.02603530362798062,0.011631738040573223,0.012126321250243174,1.893243747621091,40
BTP047 - Vidhan Soudha Metro Station,4.95014089888907,1.3250566505730408,200,304.08,12.979835985,77.59251278949999,0.025965782139903422,0.011904202131181187,0.011153621684715648,1.8784876046249197,41
BTP037 - KR Circle,3.9985596585478516,1.5336693703716506,239,341.03999999999996,12.976534570711298,77.58653865523013,0.019710675851905408,0.013993175732970327,0.013682640555087219,1.6789818756861246,42
"BTP123 - 10th Cross, Wilson Garden",1.0,3.2805177875811484,535,685.1999999999999,12.94600243397952,77.59607296917757,0.0,0.031485494674023215,0.032877245314830425,1.602109746517305,43
BTP140 - Madiwala Check Post,1.0,3.4771729799432256,368,951.12,12.932305598913045,77.6132812736413,0.0,0.033454729847677674,0.022047856818623954,1.4445990318028092,44
BTP076 - Hudson Circle,1.0,2.8574644648006085,455,611.28,12.968029834285714,77.58880913494505,0.0,0.027249189120407507,0.027689514298683614,1.3712659595858976,45
BTP218 - Syndicate Bank Junction,2.0,2.180088684603087,351,465.59999999999997,12.934673374928776,77.58443592279203,0.006573381255135985,0.020466188905032462,0.020945463977692758,1.3615640094616284,46
BTP126 - Dairy Circle,1.0,3.190627697592638,334,878.16,12.936743940419163,77.60242927844311,0.0,0.03058536727417087,0.019843071136761557,1.3144224409603573,47
BTP216 - Yediyur Junction,3.0,1.0171440641580949,172,216.0,12.93804460616813,77.57688296083747,0.01314676251027197,0.008820874972125924,0.009337915829064264,1.1087226912586616,48
"BTP145 - Sri Hatti Maramma Circle, Domluru",2.7974965964702743,1.0739870695984173,175,234.72,12.961282601803124,77.63615441362482,0.011815630433408431,0.009390080617523878,0.009532455742169769,1.0631330550395333,49
BTP009 - Prakash Nagar Junction,2.0,1.5630724369723106,262,326.4,12.992517874427481,77.55763266068702,0.006573381255135985,0.014287607587364068,0.015174113222229427,1.0607795548223098,50
BTP034 - LRDE Junction,2.0,1.3234090679489021,217,284.15999999999997,12.988339276825316,77.5917559860704,0.006573381255135985,0.01188770382459703,0.012256014525646845,0.9304204680076471,51
BTP109 - Dewan Madhava Rao Junction,1.0,1.840631142955934,309,381.12,12.940864320388348,77.57243474530745,0.0,0.017066981780396406,0.01822190519421568,0.8764475572962057,52
BTP085 - Briyand Circle,2.0,1.2013153643205388,166,294.47999999999996,12.966068878313253,77.56948985903615,0.006573381255135985,0.010665100888062105,0.008948836002853252,0.8275988094557273,53
"BTP127 - Sagar Hospital, Jayanagar",1.0,1.188247161274871,83,383.52,12.927947021686748,77.59825148915664,0.0,0.010534240549289023,0.0035665650736009338,0.3873585179506893,54
BTP171 - Indian Express (Balekundri),1.0,0.7482329996907369,114,177.12,12.986301935964912,77.59864174824561,0.0,0.0061280951864847244,0.005576810842357824,0.2953790724416982,55
BTP193 - Vasavi Circle,1.0,0.6774840597248745,113,150.72,12.949798086218998,77.5767949444681,0.0,0.0054196404571377945,0.005511964204655989,0.2728284978072536,56
"BTP200 - 15th Cross, 33rd Main, JP Nagar",1.0,0.13625848601452775,28,36.48,12.9063283,77.58138778214285,0.0,0.0,0.0,0.0,57
